title,author,isbn,price,description,imageUrl,thumbnailUrl,quantity,year,genres
 Dark Justice,Jack Higgins,399151788,29.68,"From the master of suspense, a novel about a very different kind of war-with a very different set of rules. Jack Higgins is ""the dean of intrigue novelists,"" wrote the St. Louis Post-Dispatch about his last novel, Bad Company. ""He has no equal."" In the words of the Associated Press, ""When it comes to thriller writers, one name stands well above the crowd-Jack Higgins."" It is night in Manhattan. The President of the United States is scheduled to have dinner with an old friend, but in the building across the street, a man has disabled the security and stands at a window, a rifle in his hand. Fortunately, his attempt is not successful-but this is only the beginning. Someone is recruiting a shadowy network of agents with the intention of creating terror. Their range is broad, their identities masked, their methods subtle. White House operative Blake Johnson and his counterpart in British intelligence, Sean Dillon, set out to trace the source of the havoc, but behind the first man they find another, and behind the second another still. And that last man is not pleased by the interference. Soon he will target them all: Johnson, Dillon, Dillon's colleagues. And one of them will fall. Filled with all the dark suspense and sudden action for which Higgins has become famous, and driven by characters of complexity and passion, Dark Justice shows the master at the peak of his powers.",http://images.amazon.com/images/P/0399151788.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0399151788.01.MZZZZZZZ.jpg,7,2004,Fiction
10 Dumbest Mistakes Smart People Make and How To Avoid Them : Simple and Sure Techniques for Gaining Greater Control of Your Life,Arthur Freeman,60921994,18.29,"ARE YOU A MISTAKE MAKER?Have you ever thought: ""I'd better not try, I could be embarrassed""?Does it bother you to see someone you know get ahead -- of you?Have you ever thought: ""Its my responsibility to make sure my loved ones are happy""?Is your motto ""Anything worth doing must be done absolutely right""?Do you tend to qualify your responses?That is, do you find yourself saying: ""Yes, its good, but...""?Have you ever concluded: ""Everybody thinks I messed up""?Have you ever thought: ""I just can't lose.Let's face it, when you've got it, you've got it""?You, just like everybody else in the world, may be prone to one or many of the ten dumbest mistakes smart people make. Now, Dr. Arthur Freeman and Rose DeWolf offer clear, practical advice and concrete techniques to help you combat selfdefeating thinking and gain greater control of your life, work, and personal relationships. Arm yourself with this one right away.",http://images.amazon.com/images/P/0060921994.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0060921994.01.MZZZZZZZ.jpg,5,1993,"Health, Fitness & Self-Help"
10 Years of Matt,Matthew Pritchett,752844725,35.21,"Matt, the cartoonist on everyone's breakfast table, on the front page of the DAILY TELEGRAPH and three slots on Sundays. Now, available for the first time, here is a bumper helping of Matt. 10 YEARS OF MATT is a collection of some of the funniest Matt cartoons from the last decade, and is a must for fans and newcomers alike.",http://images.amazon.com/images/P/0752844725.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0752844725.01.MZZZZZZZ.jpg,2,2001,Non-fiction
100 Monologues: An Audition Sourcebook from New Dramatists,Laura Harrington,451626885,18,"The 100 monologues in this superb collection have all been created specifically for this edition--and have all been tested in a simulated audition/workshop setting by professional actors with input from directors, casting directors and dramaturgs.",http://images.amazon.com/images/P/0451626885.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0451626885.01.MZZZZZZZ.jpg,9,1992,Fiction
1001 Natural Remedies,Laurel Vukovic,751364479,35.52,"Did you know that a few drops of eucalyptus oil can deter clothes moths, or that the most effective hand moisturizer is lavender or almond oil?",http://images.amazon.com/images/P/0751364479.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0751364479.01.MZZZZZZZ.jpg,4,2003,Non-fiction
1001 Things Everyone Should Know About African American History,Jeffrey C. Stewart,385473095,23.57,"Stewart takes readers on an all-encompasing journey through African-American history. Here, in 1,001 easily-read, well-illustrated, thumbnail sketches, are all the people, terms, ideas, events and social movements that make this such a fascinating and inspiring subject.",http://images.amazon.com/images/P/0385473095.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0385473095.01.MZZZZZZZ.jpg,1,1996,Non-fiction
101 Dalmatians (Pictureback Books (Paperback)),Mary J. Multon,736421459,39.34,Disney's animated classic is retold in this full-color storybook.,http://images.amazon.com/images/P/0736421459.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0736421459.01.MZZZZZZZ.jpg,8,2002,Kids & Young Adult
101 Ethical Dilemmas,Martin Cohen,415261279,27.09,"Will meat eaters get into heaven? Do trees have rights? Is it ever right to 'design' a baby? From overcrowded lifeboats to the censor's pen, Martin Cohen's stimulating and amusing dilemmas will have you scratching your head and laughing out loud in equal measure. Whatever your background, there is a dilemma for you. There are the DIY babies and the breeding experiements from medicine; an ethically dubious chemical factory Business ethics; the 'School of Terror' from world affairs and the 'Twinkies courtroom drama' from law. In this book, you'll find dilemmas in the shape of beautiful and ugly sisters, frog kings, ancient volcanic islands and exotic villages. This book won't help you become a good person, but at least you will have thought about it.",http://images.amazon.com/images/P/0415261279.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0415261279.01.MZZZZZZZ.jpg,2,2003,Non-fiction
101 Great Science Experiments,Neil Ardley,789449218,32.22,"Make science fun with 101 exciting step-by-step experiments that are safe and easy to do at home. Science writer Neil Ardley shows how you can use everyday objects to discover the basic principles of science and understand how these apply to the world around you. So if you want to make a volcano erupt, see around corners, find out how your eyes work, or build an electromagnet, this fascinating book will show you how.Make science fun with 101 exciting step-by-step experiments that are safe and easy to do at home.",http://images.amazon.com/images/P/0789449218.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/0789449218.01.MZZZZZZZ.jpg,7,2001,Kids & Young Adult
101 Uses for a Lab,Dale C. Spartas,1572231319,39.08,"101 Uses for a Lab is a whimsical look at the many roles the Lab in your life can fill. Garbage disposal, car alarm, fishing buddy, dishwasher . . . just a few of the Lab's many talents. This book brings to life all the endearing characteristics that make these dogs favorite companions.",http://images.amazon.com/images/P/1572231319.01.LZZZZZZZ.jpg,http://images.amazon.com/images/P/1572231319.01.MZZZZZZZ.jpg,2,1998,Non-fiction
